"module name","license","repository"
"@babel/traverse@7.27.4","MIT","https://github.com/babel/babel"
"@babel/types@7.27.6","MIT","https://github.com/babel/babel"
"@braintree/sanitize-url@7.1.1","MIT","https://github.com/braintree/sanitize-url"
"@chevrotain/cst-dts-gen@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@chevrotain/gast@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@chevrotain/regexp-to-ast@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@chevrotain/types@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@chevrotain/utils@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@copilotkit/react-core@1.9.0","MIT","https://github.com/CopilotKit/CopilotKit"
"@copilotkit/react-ui@1.9.0","MIT","https://github.com/CopilotKit/CopilotKit"
"@copilotkit/runtime-client-gql@1.9.0","MIT","https://github.com/CopilotKit/CopilotKit"
"@copilotkit/shared@1.9.0","MIT","https://github.com/CopilotKit/CopilotKit"
"@esbuild/darwin-arm64@0.25.5","MIT","https://github.com/evanw/esbuild"
"@eslint-community/eslint-utils@4.7.0","MIT","https://github.com/eslint-community/eslint-utils"
"@eslint-community/regexpp@4.12.1","MIT","https://github.com/eslint-community/regexpp"
"@eslint/config-array@0.20.1","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-helpers@0.2.3","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/core@0.14.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/core@0.15.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/eslintrc@3.3.1","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@9.28.0","MIT","https://github.com/eslint/eslint"
"@eslint/object-schema@2.1.6","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/plugin-kit@0.3.2","Apache-2.0","https://github.com/eslint/rewrite"
"@floating-ui/core@1.7.1","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.7.1","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.1.3","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react@0.26.28","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.9","MIT","https://github.com/floating-ui/floating-ui"
"@formulajs/formulajs@2.9.3","MIT","https://github.com/formulajs/formulajs"
"@fortune-sheet/core@1.0.2","MIT","https://github.com/ruilisi/fortune-sheet"
"@fortune-sheet/formula-parser@0.2.13","MIT",""
"@fortune-sheet/react@1.0.2","MIT","https://github.com/ruilisi/fortune-sheet"
"@headlessui/react@2.2.4","MIT","https://github.com/tailwindlabs/headlessui"
"@humanfs/core@0.19.1","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanfs/node@0.16.6","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/retry@0.3.1","Apache-2.0","https://github.com/humanwhocodes/retry"
"@humanwhocodes/retry@0.4.3","Apache-2.0","https://github.com/humanwhocodes/retry"
"@iconify/types@2.0.0","MIT","https://github.com/iconify/iconify"
"@iconify/utils@2.3.0","MIT","https://github.com/iconify/iconify"
"@jridgewell/gen-mapping@0.3.8","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.2.1","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/sourcemap-codec@1.5.0","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.25","MIT","https://github.com/jridgewell/trace-mapping"
"@lukeed/csprng@1.1.0","MIT","https://github.com/lukeed/csprng"
"@lukeed/uuid@2.0.1","MIT","https://github.com/lukeed/uuid"
"@mermaid-js/parser@0.4.0","MIT","https://github.com/mermaid-js/mermaid"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
